gamma,f,p_depolarizing,p_readout_error,eavesdropper
0.5997484100929199,0.07056088019572623,0.24292814394101392,0.07160487850781376,False
0.5991648676750814,0.07469070785619611,0.1667912313242345,0.08983400394241696,False
0.5990204095831572,0.056890649948717203,0.2554761726501583,0.04306595842466459,True
0.5990532640395507,0.09916755665640083,0.25817723366495693,0.05557787395658063,True
0.6002461544834335,0.06576809742445128,0.2320003217334535,0.04724542056226877,False
0.6005437281297069,0.07379683147155021,0.14367180812276387,0.0684730008582161,True
0.5995425030044383,0.044807676219641775,0.2787535699546739,0.04011876395827668,True
0.599148314535407,0.04008362429129173,0.12244852000502895,0.07149673162124304,False
0.6008312037902374,0.029535916295806534,0.27231440170589516,0.053543868512405876,True
0.5998045303611591,0.08926496720534126,0.11927225917799363,0.030190869721858755,False
0.6005176000788455,0.0774833216086566,0.1531069494907159,0.04852032818962702,False
0.6004662981461648,0.013849707048566941,0.16068585648076983,0.02293136441649165,False
0.6009765811569706,0.0987384275771702,0.13584737384168605,0.09636934625097673,True
0.6006276443036715,0.060549159209102615,0.13994421229288562,0.09262680620312115,False
0.6009899844447659,0.0024316242304656824,0.17862303799109502,0.06855281274499321,False
0.6005537982750256,0.007708940098370574,0.24211732949839843,0.06871347030959979,True
0.6004962533771839,0.009524566052833111,0.25640891885600103,0.09426634246987628,True
0.6005460619878557,0.0857111993369653,0.29777418580646525,0.062226327198276976,False
0.5990135071723405,0.029681687312885435,0.18710436997265878,0.025641494452759796,False
0.5995515434752259,0.04459718106000664,0.15192607059014812,0.053408510538334494,True
0.5997575045834894,0.03266892840787152,0.14283033512180032,0.093880592978939,False
0.6008977075420611,0.041906903080113266,0.1039287822806819,0.051107914070122586,True
0.5995825301405595,0.010336620620920584,0.28797925686735026,0.0737387994990391,True
0.5996527328602285,0.04664524172711187,0.24815992938541798,0.02787967752343161,True
0.5999260037894338,0.05479439054565628,0.1970833109920147,0.09385104090131971,True
0.6009042966218031,0.04837605958405324,0.2889915219331796,0.030427197719488187,False
0.599248768012282,0.09365279814169639,0.1070917868221726,0.07911560411651414,False
0.5997650906705928,0.06559218011267032,0.18987226487003836,0.01895335131372189,False
0.5994406761831376,0.021501301943291452,0.22074100882912862,0.06630662570900021,False
0.6007044293837862,0.0967953714525052,0.21025203043289847,0.08595075552281739,False
0.5994110003004479,0.08882337236971626,0.1706792450633753,0.04176380288597802,True
0.5990481518008488,0.029465523889385548,0.21416904947793208,0.08142101753227816,False
0.6000441851275743,0.09825106671227374,0.22764244776239367,0.07024620141295701,True
0.6008203920147603,0.0234518104790596,0.18575755459487403,0.034167133450246696,False
0.5995596007777562,0.0027623014833473504,0.17657130532370413,0.05154597337732939,False
0.5994620885589361,0.023926207420586508,0.13973775995888352,0.036685096703699425,False
0.600795167193822,0.048091351681235246,0.10026805491824056,0.06515785177260222,True
0.5993377862790016,0.08563813625197932,0.21164805058924635,0.037207051625289984,True
0.5994795090023297,0.049009339754692946,0.20098014245765222,0.010659582576396561,True
0.5999054317818007,0.03151934763189422,0.19625510254270612,0.04500136505183348,True
0.5992367221982625,0.07833422140171009,0.18321523722222738,0.054640588292841394,False
0.6003058666841141,0.03845536060035353,0.25691821682301397,0.0975010446758199,False
0.5992660885334197,0.08057130018334738,0.10043224534826513,0.08689328235908693,True
0.5995948396184586,0.043626890303469446,0.10511259523681017,0.09378233475283194,False
0.6004271407783403,0.04657174608802344,0.2134623564481718,0.07741365758098644,False
0.6003777564390766,0.013871568293729417,0.17360847849514982,0.08953061254905174,True
0.599152320645164,0.09287571186644764,0.10181415040496752,0.016156131760722652,False
0.5995485967785636,0.050176482464282565,0.2295058248202785,0.011953674615889892,False
0.5990344878430579,0.010609735858196537,0.2158805379653456,0.05400212307804955,True
0.5995189608098904,0.04792879928835966,0.2476199842560774,0.03375072742810117,True
0.6000433002112019,0.08279805731608025,0.28807718814947714,0.07942828694000273,False
0.5996813022829139,0.02455007344686705,0.2929248671471377,0.09347231494971783,False
0.6007364166340665,0.0740580420570073,0.2667040975936632,0.09866792600181204,False
0.5996202990229373,0.09475380319488667,0.16486624063473254,0.09179608058777766,False
0.5993978995237658,0.03276134213165982,0.25237502353569047,0.049218347353951204,False
0.6008043176454776,0.0012745450289299962,0.2818809638331973,0.09278063662586195,False
0.6005895432323324,0.05947784681517771,0.26106672611322,0.021364108008294663,False
0.5999369646121929,0.050274233843949113,0.24524522018968678,0.06387141460257795,False
0.5992234024343605,0.06802204513919644,0.21565570582868016,0.05493813131337842,True
0.6009926182865232,0.05745434491695589,0.16714272348550613,0.04960353795193647,True
0.6001302409264542,0.08395043610009906,0.14534070700090185,0.08625686428110892,False
0.5992266944738203,0.04321155263592863,0.1298151556510082,0.09407807050285046,True
0.5998754783131144,0.056052065873623776,0.2850547624593507,0.02303673995633287,True
0.6005082095011269,0.05540110796302279,0.26443101480753695,0.09086335306912033,True
0.5996469014401458,0.08822240697720586,0.1565042680380967,0.025727965575740724,True
0.6006702614885377,0.07636730712496416,0.14385002957323997,0.05174454417058551,True
0.5992993174915839,0.01281691278797946,0.10165408827416222,0.03685888335946708,False
0.599098464526029,0.016151833959162275,0.1305328938468487,0.0882923598605018,False
0.6003331815835442,0.09466436487433375,0.21963947488789953,0.07793056995093389,True
0.599131592326416,0.01775880253026853,0.24989673322652486,0.09006096903524435,True
0.600475133069267,0.05030425696961516,0.1176217051383901,0.06557211987471352,True
0.6009556162089409,0.07246098174249946,0.2811379053601496,0.029117564037722324,True
0.5991427875905648,0.07739556657092321,0.13949260914377618,0.09607913429741687,True
0.6008368216092062,0.02598831130923585,0.11023860987320439,0.012113404999668446,True
0.599302844758519,0.07237456682941287,0.13405043790376747,0.07800853991215738,False
0.5994600295750632,0.04568675497042044,0.21333416217221216,0.09059514641220208,False
0.5998037062218434,0.07607347634092734,0.10994820211732421,0.0472990185483012,False
0.6003968680200283,0.046935081254351925,0.22691806053461494,0.06886372843551668,True
0.5991219366112163,0.007229881818336073,0.1239054122998718,0.09324584204925684,True
0.6004424271450622,0.030479488628367822,0.23844016979134644,0.09777072396511548,True
0.6005443884362743,0.08175227549014781,0.2829869387343005,0.07259391420816509,True
